navio,classe,prioridade,urgencia,score_urgencia,fatores_considerados,taxa_deterioracao_mes,aumento_percentual,consumo_medio_ton_nm,r2,score_iws_medio,score_iws_max,dias_sem_docagem,ultima_docagem,anos_sem_docagem,custo_limpeza_estimado,custo_combustivel_extra_6meses,consumo_extra_mensal_ton,roi_percentual,economia_anual_estimada,payback_meses,recomendacao,prazo_sugerido_dias
BRUNO LIMA,Gaseiro 7k,1,CRÍTICA,7.0,Taxa deterioração moderada; Bioincrustação alta; Aumento consumo crítico; Muito tempo sem docagem,0.000928,127.77,0.0603,0.0311,0.6,0.6,1534,2021-09-18,4.2,200000,167040.0,55.68,902.24,2004480.0,1.2,"🔴 **LIMPEZA URGENTE RECOMENDADA**

O BRUNO LIMA apresenta sinais críticos de deterioração. Recomenda-se agendar limpeza imediata (próximos 15-30 dias).

**Indicadores:**
• Última docagem: 4.2 anos atrás
• Taxa de deterioração: 0.000928 ton/nm/mês
• Score de bioincrustação: 60.0%
• Aumento de consumo: +127.8%
• ROI estimado: 902.2%
• Payback: 1.2 meses",15.0
PAULO MOURA,Suezmax,1,CRÍTICA,6.0,Taxa deterioração crítica; Bioincrustação moderada; Aumento consumo crítico,0.001596,75.24,0.1765,0.0403,0.4,0.7,29,2025-11-01,0.08,500000,287280.0,95.76,589.47,3447360.0,1.74,"🔴 **LIMPEZA URGENTE RECOMENDADA**

O PAULO MOURA apresenta sinais críticos de deterioração. Recomenda-se agendar limpeza imediata (próximos 15-30 dias).

**Indicadores:**
• Última docagem: 0.1 anos atrás
• Taxa de deterioração: 0.001596 ton/nm/mês
• Score de bioincrustação: 40.0%
• Aumento de consumo: +75.2%
• ROI estimado: 589.5%
• Payback: 1.7 meses",15.0
DANIEL PEREIRA,Aframax,2,ALTA,5.5,Taxa deterioração crítica; Aumento consumo alto; Tempo sem docagem moderado,0.001576,30.52,0.1592,0.008,,,809,2023-09-13,2.22,400000,283680.0,94.56,751.04,3404160.0,1.41,"🟠 **LIMPEZA ALTAMENTE RECOMENDADA**

O DANIEL PEREIRA apresenta deterioração significativa. Recomenda-se agendar limpeza nos próximos 30-60 dias.

**Indicadores:**
• Última docagem: 2.2 anos atrás
• Taxa de deterioração: 0.001576 ton/nm/mês
• Aumento de consumo: +30.5%
• ROI estimado: 751.0%
• Payback: 1.4 meses",45.0
CARLA SILVA,Aframax,2,ALTA,4.0,Bioincrustação crítica; Tempo sem docagem moderado,-0.000969,-13.46,0.1432,0.004,0.792,1.0,643,2024-02-26,1.76,400000,0.0,0.0,-100.0,0.0,,"🟠 **LIMPEZA ALTAMENTE RECOMENDADA**

O CARLA SILVA apresenta deterioração significativa. Recomenda-se agendar limpeza nos próximos 30-60 dias.

**Indicadores:**
• Última docagem: 1.8 anos atrás
• Score de bioincrustação: 79.2%
• ROI estimado: -100.0%",45.0
HENRIQUE ALVES,Suezmax,2,ALTA,4.5,Bioincrustação crítica; Tempo sem docagem alto,-0.000282,-5.65,0.1785,0.0005,0.725,0.9,1117,2022-11-09,3.06,500000,0.0,0.0,-100.0,0.0,,"🟠 **LIMPEZA ALTAMENTE RECOMENDADA**

O HENRIQUE ALVES apresenta deterioração significativa. Recomenda-se agendar limpeza nos próximos 30-60 dias.

**Indicadores:**
• Última docagem: 3.1 anos atrás
• Score de bioincrustação: 72.5%
• ROI estimado: -100.0%",45.0
RENATO GOMES,Aframax,2,ALTA,5.0,Taxa deterioração alta; Bioincrustação moderada; Aumento consumo moderado; Tempo sem docagem moderado,0.001162,24.25,0.1224,0.0117,0.425,0.75,693,2024-01-07,1.9,400000,209160.0,69.72,527.48,2509920.0,1.91,"🟠 **LIMPEZA ALTAMENTE RECOMENDADA**

O RENATO GOMES apresenta deterioração significativa. Recomenda-se agendar limpeza nos próximos 30-60 dias.

**Indicadores:**
• Última docagem: 1.9 anos atrás
• Taxa de deterioração: 0.001162 ton/nm/mês
• Score de bioincrustação: 42.5%
• Aumento de consumo: +24.2%
• ROI estimado: 527.5%
• Payback: 1.9 meses",45.0
EDUARDO COSTA,MR 2,2,ALTA,4.0,Taxa deterioração moderada; Aumento consumo moderado; Muito tempo sem docagem,0.000666,19.41,0.1728,0.0025,0.262,0.262,1385,2022-02-14,3.79,300000,119880.0,39.96,379.52,1438560.0,2.5,"🟠 **LIMPEZA ALTAMENTE RECOMENDADA**

O EDUARDO COSTA apresenta deterioração significativa. Recomenda-se agendar limpeza nos próximos 30-60 dias.

**Indicadores:**
• Última docagem: 3.8 anos atrás
• Taxa de deterioração: 0.000666 ton/nm/mês
• Score de bioincrustação: 26.2%
• Aumento de consumo: +19.4%
• ROI estimado: 379.5%
• Payback: 2.5 meses",45.0
FELIPE RIBEIRO,Suezmax,3,MODERADA,3.0,Bioincrustação crítica,-0.000728,-7.04,0.1724,0.0012,0.9,1.0,528,2024-06-20,1.45,500000,0.0,0.0,-100.0,0.0,,"🟡 **LIMPEZA RECOMENDADA**

O FELIPE RIBEIRO apresenta sinais de deterioração moderada. Recomenda-se planejar limpeza nos próximos 60-90 dias.

**Indicadores:**
• Última docagem: 1.4 anos atrás
• Score de bioincrustação: 90.0%
• ROI estimado: -100.0%",75.0
RAFAEL SANTOS,Suezmax,3,MODERADA,3.0,Bioincrustação moderada; Muito tempo sem docagem,-0.000787,-16.99,0.1741,0.0063,0.497,0.725,1241,2022-07-08,3.4,500000,0.0,0.0,-100.0,0.0,,"🟡 **LIMPEZA RECOMENDADA**

O RAFAEL SANTOS apresenta sinais de deterioração moderada. Recomenda-se planejar limpeza nos próximos 60-90 dias.

**Indicadores:**
• Última docagem: 3.4 anos atrás
• Score de bioincrustação: 49.7%
• ROI estimado: -100.0%",75.0
THIAGO FERNANDES,MR 2,3,MODERADA,3.5,Taxa deterioração moderada; Aumento consumo moderado; Tempo sem docagem alto,0.000958,29.16,0.129,0.0065,,,1047,2023-01-18,2.87,300000,172440.0,57.48,589.76,2069280.0,1.74,"🟡 **LIMPEZA RECOMENDADA**

O THIAGO FERNANDES apresenta sinais de deterioração moderada. Recomenda-se planejar limpeza nos próximos 60-90 dias.

**Indicadores:**
• Última docagem: 2.9 anos atrás
• Taxa de deterioração: 0.000958 ton/nm/mês
• Aumento de consumo: +29.2%
• ROI estimado: 589.8%
• Payback: 1.7 meses",75.0
